Rank,Title,Status,Study Results,Conditions,Interventions,Outcome Measures,Last Update Posted,URL
312,Curcumin as a Novel Treatment to Improve Cognitive Dysfunction in Schizophrenia,Completed,No Results Available,Schizophrenia|Cognition|Psychosis,Drug: Curcumin|Drug: Placebo,MATRICS Consensus Cognitive Battery (MCCB)|Empathic Accuracy Assessment|EEG Mismatch Negativity Paradigm (MMN)|EEG Visual Cortical Plasticity Paradigm|Brain Derived Neurotrophic Factor|Brief Psychiatric Rating Scale (BPRS)|The Clinical Assessment Interview for Negative Symptoms|Columbia-Suicide Severity Rating Scale (C-SSRS)|Udvalg for Kliniske UndersÌügelser (UKU) Side Effects Rating Scale,23-Oct-17,https://ClinicalTrials.gov/show/NCT02104752
313,Activity & Cognition After Treatment for Breast Cancer,Completed,No Results Available,Breast Cancer|Mild Cognitive Impairment|Physical Activity,Behavioral: Walking,Change from baseline in cognitive function in breast cancer survivors immediately and one hour after an acute bout of exercise as assessed by a battery of cognitive functioning measures.|Change in relationship between exercise and cognitive function in breast cancer survivors as assessed by physical activity and fitness levels.|Physical activity guidelines in breast cancer survivors as assessed by graded exercise test.|Change from baseline in anxiety levels after one bout of exercise as assessed by HADS questionnaire.|Change in relationship between exercise and cognitive function in breast cancer survivors as assessed by psychosocial questionnaires.,24-Feb-17,https://ClinicalTrials.gov/show/NCT02592070
314,Matching Cognitive Remediation to Cognitive Deficits in Substance-Abusing Inmates,Completed,No Results Available,Psychopathy|Personality Disorders,Other: Cognitive Remediation,Psychophysiological change from pre-treatment to post-treatment|Frequency of Conduct Reports,02-Jun-15,https://ClinicalTrials.gov/show/NCT01428349
315,Study of Intrathecal Idursulfase-IT Administered in Conjunction With Elapraseå¨ in Pediatric Patients With Hunter Syndrome and Early Cognitive Impairment,Completed,No Results Available,Hunter Syndrome,Biological: idursulfase-IT|Other: No IT treatment,"Change from baseline in the GCA score after 12 months of treatment at visit week 52, as obtained by DAS-II testing|Change from baseline in the adaptive behavior composite (ABC) score after 12 months of treatment at visit week 52, as obtained by VABS-II testing|Change from baseline in the GCA score at visit weeks 16, 28 and 40 as obtained by DAS-II testing|Change from baseline in the ABC score at visit weeks 16, 28 and 40 as obtained by VABS-II testing|Change from baseline in standard scores at visit weeks 16, 28, 40 and 52 in cluster areas of the DAS-II|Change from baseline in standard scores at visit weeks 16, 28, 40 and 52 of VABS-II domains|Change from baseline in age equivalents at visit weeks 16, 28, 40 and 52 developmental quotients, and T-scores for the subtests of the DAS-II|Change from baseline to visit weeks 16, 28, 40 and 52 in age equivalents, developmental quotients, and V-scale scores of the VABS-II subdomains|Change from baseline to visit weeks 16, 28, 40 and 52 in the V-scale scores and observed maladaptive levels of the VABS-II Maladaptive Behavior Index and its subscales",08-Nov-17,https://ClinicalTrials.gov/show/NCT02055118
316,Evaluation of Web-based Training to Educate Physicians in the Methods of Interpreting Florbetapir-PET Scans,Completed,Has Results,Alzheimer Disease|Mild Cognitive Impairment|Neurodegenerative Diseases,Drug: florbetapir F 18,Inter-rater Reliability|Sensitivity of Florbetapir-PET to Detect Moderate to Frequent Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease)|Specificity of Florbetapir-PET to Detect no or Sparse Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease),07-Jun-12,https://ClinicalTrials.gov/show/NCT01550549
317,Clinical Evaluation of Florbetapir F 18 (18F-AV-45),Completed,No Results Available,Alzheimer Disease|Mild Cognitive Impairment|Neurodegenerative Diseases,Drug: Florbetapir F 18,Safety assessment|Florbetapir F 18 tracer uptake as determined by SUVR,12-Jun-17,https://ClinicalTrials.gov/show/NCT01518374
318,Treatment Study for Cognitive Deficits in Schizophrenia,Completed,Has Results,Schizophrenia,Drug: MK-0777|Drug: placebo,Composite MATRICS Consensus Cognitive Battery Score|UPSA(UCSD Performance-Based Skills Assessment) Summary Score|Schizophrenia Cognition Rating Scale (SCoRS) Score,31-Oct-14,https://ClinicalTrials.gov/show/NCT00505076
319,An Open-Label Study Investigating MK-8931 in Participants With Mild and Moderate Hepatic Insufficiency (MK-8931-016),Completed,No Results Available,Amnestic Mild Cognitive Impairment|Alzheimer's Disease|Prodromal Alzheimer's Disease,Drug: MK-8931,Area under the concentration versus time curve of MK-8931 from 0 to infinity (AUC0-‰ö_)|Maximum observed plasma concentration of MK-8931 (Cmax)|Area under the concentration versus time curve of MK-8931 from 0 to the time of the last quantifiable (above LLOQ) sample (AUCO-last)|Area under the concentration versus time curve of MK-8931 from 0 to 24 hours (AUC0-24)|Plasma concentration of MK-8931 at 24 hours(C24hr)|Apparent clearance of MK-8931 after extravascular administration (CL/F)|Time to maximum observed MK-8931 plasma drug concentration (Tmax)|Apparent terminal half-life of MK-8931 (t1/2)|Apparent volume of distribution of MK-8931 during the terminal phase after extravascular administration (Vz/F),28-Jul-17,https://ClinicalTrials.gov/show/NCT02910739
320,Study of Donepezil in Female Breast Cancer Survivors With Cognitive Dysfunction,Completed,Has Results,Anxiety Disorder|Breast Cancer|Cognition Disorders|Depression|Fatigue|Sleep Disorders,Drug: donepezil hydrochloride|Drug: Placebo,Retention|Compliance|HVLT-IR|Fatigue,28-Aug-17,https://ClinicalTrials.gov/show/NCT01466270
321,Oral Vitamin B12 Supplementation and Cognitive Performance in Elderly People,Completed,No Results Available,Cognitive Decline|Cognitive Symptoms,Behavioral: vitamin B12 supplementation|Behavioral: vitamin B12 + folic acid combined supplementation,"Cognitive performance in the domains of attention, concentration, memory, executive function, speed|Blood biochemistry including vitamin B12, methylmalonic acid, holotranscobalamin, homocysteine, and red blood cell folate",24-Jun-05,https://ClinicalTrials.gov/show/NCT00111267
322,Effects of Strengthening Exercise on the Brain for Early Dementia and Normative Older Adults,Completed,Has Results,Cognitive Decline|Dementia|Alzheimer's Disease|Mild Cognitive Impairment,Behavioral: Strengthening exercise,Stroop Test Performance From Pre- to Post-intervention|Digits Backwards Test Performance From Pre- to Post-intervention|Color Trails Test Performance From Pre- to Post-intervention|Fuld Test Performance From Pre- to Post-intervention|Figure Copy & Delayed Test Performance From Pre- to Post-intervention|Neurophysiological Function Pre- & Post- Intervention,11-Mar-15,https://ClinicalTrials.gov/show/NCT01264614
323,Examining the Effects of (MiM) Treatment on Emotional and Cognitive Functioning of Residents in Long-term Care,Completed,No Results Available,Emotion|Impaired Cognition,"Behavioral: Music, Imagery, Movement|Behavioral: Social Control",emotional functioning|cognitive functioning,21-Jun-16,https://ClinicalTrials.gov/show/NCT02219620
324,The Influence of GINkGo Biloba on the Pharmacokinetics of the UGT Substrate raltEgraviR (GINGER),Completed,No Results Available,HIV Infections|Depression|Mild Cognitive Impairment,Drug: raltegravir single dose|Drug: ginkgo biloba multiple dose,raltegravir concentrations|adverse events,27-Nov-12,https://ClinicalTrials.gov/show/NCT01246804
325,D-Serine Treatment of Negative Symptoms and Cognitive Deficits in Schizophrenia,Completed,Has Results,Schizophrenia|Schizoaffective Disorder,Drug: D-serine|Behavioral: Cognitive Retraining (CRT)|Drug: Placebo|Behavioral: Cognitive Retraining Placebo,Wisconsin Card Sorting Test (WCST)|Hopkins Verbal Learning Test|Spatial Span- Total Score|Positive and Negative Syndrome Scale (PANSS)|Heinrichs-Carpenter Quality of Life Scale|Simpson-Angus Neurological Rating Scale|UCSD Performance-Based Skills Assessment (UPSA),10-May-17,https://ClinicalTrials.gov/show/NCT00237809
326,Silent Cerebrovascular Lesion and Cognitive Decline Prevention by Cholesterol Lowering in Elderly AF Patients,Completed,No Results Available,Atrial Fibrillation|Neuropsychology|Magnetic Resonance Imaging|Inflammation|Hemostasis,Drug: Atorvastatin|Drug: ezetimibe,Neurocognitive function|Cerebrovascular lesions on MRI|Level of inflammatory markers|Level of hemostatic markers,20-Mar-07,https://ClinicalTrials.gov/show/NCT00449410
327,New Approach for Treatment of Behavioral Disorders in Alzheimer's Disease (Alzheimer's Behavioral and Cognitive Disorders),Completed,Has Results,Alzheimer Disease|Behavioral Disorders|Cognitive Impairment,Other: Ecological Environmental therapy,Evaluations of Behavioral Disorders|Evaluation of Cognitive Status (Score 0-30)|Body Composition (Kilograms of Fat Free Mass)|Systolic Blood Pressure (mmHg)|Diastolic Blood Pressure (mmHg)|Blood Glucose (mg/dl)|Blood Cholesterol HDL (mg/dl)|Blood Cholesterol LDL (mg/dl)|Daily Energy Expenditure (Kcal/Day)|Evaluation of Activity of Daily Life|Salivary Cortisol (Nmol/l)|Number of Medications|Number of Patients Treated With Quetiapine|Number of Patients Treated With Citalopram|Number of Patients Treated With Donepezil|Number of Patients Treated With Memantine|Number of Patients Treated With Ticlopidin,29-Feb-16,https://ClinicalTrials.gov/show/NCT02462291
328,Cognitive Dysfunction and Glucagon-like Peptide-1 Agonists,Completed,No Results Available,Bipolar Disorder|Major Depressive Disorder,Biological: Liraglutide,Executive function|Resting-state functional network connectivity,13-May-16,https://ClinicalTrials.gov/show/NCT02423824
329,Efficacy of Vortioxetine on Cognitive Dysfunction in Working Patients With Major Depressive Disorder,Completed,No Results Available,Major Depressive Disorder,Drug: Vortioxetine 10 mg|Drug: Paroxetine 20 mg|Drug: Placebo,Change in Digit Symbol Substitution Test (DSST): number of correct symbols|Change in Trail Making Test (TMT) score: TMT-A; speed of processing|Change in TMT-B; executive functioning|Change in reaction time score: Choice Reaction Time (CRT); attention|Change in reaction time score: Simple Reaction Time (SRT); psychomotor speed)|Change in Stroop Colour Naming Test (STROOP): incongruent score; executive functioning|Change in STROOP: congruent score; speed of processing|Change in Perceived Deficits Questionnaire - Depression (PDQ-D) total score|Change in Montgomery and Asberg Depression Rating Scale (MADRS) total score|Change in Clinical Global Impression - Severity of Illness (CGI-S)|Clinical Global Impression - Global Improvement (CGI-I) score|Change in the Functioning Assessment Short Test (FAST) total score|Change in University of San Diego Performance-based Skills Assessment - Brief (UPSA-B) total score,28-Feb-17,https://ClinicalTrials.gov/show/NCT02279966
330,Citocoline for Treatment of FXTAS,Completed,No Results Available,Balance and Cognitive Deficits in Fragile X-associated Tremor Ataxia Syndrome,Drug: citocoline,FXTAS Rating Scale Score,30-Aug-17,https://ClinicalTrials.gov/show/NCT02197104
331,Efficacy of Vortioxetine on Cognitive Dysfunction in Patients With Partial or Full Remission of Major Depressive Disorder,Completed,No Results Available,Major Depressive Disorder,Drug: Vortioxetine 10-20 mg|Drug: Placebo|Drug: SSRI,"Change in Digit Symbol Substitution Test (DSST): number of correct symbols|Change in Rey Auditory Verbal Learning Test (RAVLT) score: memory (delayed recall) and learning [acquisition])|Change in Trail Making Test (TMT) score: TMT-A; speed of processing|Change in TMT score: TMT-B; executive functioning|Change in reaction time score: Choice Reaction Time (CRT); attention|Change in reaction time score: Simple Reaction Time (SRT); psychomotor speed|Change in Stroop Colour Naming Test (STROOP): incongruent score; executive functioning|Change in STROOP: congruent score; speed of processing|Change in Perceived Deficits Questionnaire - Depression (PDQ-D) total score|Change in Hamilton Depression Rating Scale-17 (HAMD-17) total score|Change in Clinical Global Impression - Severity of Illness (CGI-S)|Clinical Global Impression - Global Improvement (CGI-I) score|Change in University of San Diego Performance-based Skills Assessment - Brief (UPSA-B) total score|Number of adverse events|Columbia Suicide Severity Rating Scale (C-SSRS) categorisation based on Columbia Classification Algorithm of Suicide Assessment (C-CASA) definitions (1, 2, 3, 4 and 7)",24-May-17,https://ClinicalTrials.gov/show/NCT02279953
332,Efficacy of Lu AA21004 on Cognitive Dysfunction in Major Depressive Disorder,Completed,Has Results,"Depressive Disorder, Major",Drug: vortioxetine (Lu AA21004)|Drug: Duloxetine|Drug: Placebo,Change From Baseline to Week 8 in the Digit Symbol Substitution Test (DSST)|Change From Baseline to Week 8 in the Perceived Deficits Questionnaire (PDQ) Attention/Concentration and Planning/Organization Subscore|Clinical Global Impressions-Improvement (CGI-I) Score at Week 8|Change From Baseline to Week 8 in the Trail Making Test (TMT-A)|Change From Baseline to Week 8 in the Trail Making Test B (TMT-B)|Change in Time From Baseline to Week 8 in the Stroop Test|Change From Baseline to Week 8 in the Groton Maze Learning Test (GMLT)|Change From Baseline to Week 8 in the Detection Task (DT)|Change From Baseline to Week 8 in the Identification Task (IT)|Change From Baseline to Week 8 in the One-Back Task|Proportion of Cognitive Dysfunction Improvement Due to Improvement of Depression|Change From Baseline to Week 8 in the MADRS Total Score|Percentage of Participants With MADRS Response at Week 8|Percentage of Participants in MADRS Remission at Week 8|Change From Baseline to Week 8 in the Clinical Global Impressions-Severity (CGI-S) Score,05-Feb-15,https://ClinicalTrials.gov/show/NCT01564862
333,Effectiveness of a Brain-Computer Interface Based System for Cognitive Enhancement in the Normal Elderly,Completed,No Results Available,Alzheimer's Disease|Mild Cognitive Impairment|Age-Related Cognitive Decline|Dementia,Device: BrainPalTM,Total Score on the Repeatable Battery for the Assessment of Neuropsychological Status (RBANS)|Number of Adverse Events reported by participants on the Safety Measurement Form|Usability Measurement,25-Jul-14,https://ClinicalTrials.gov/show/NCT01661894
334,Postoperative Neuroinflammation and Cognitive Dysfunction After Abdominal Surgery,Completed,No Results Available,Anesthesia|Surgery|Neurogenic Inflammation|Cognitive Disorders,Radiation: Positron emission tomography (PET) using [11C]PBR28,Binding of the PET probe [11C]PBR28|Cognitive testing|Inflammatory biomarkers,11-Jan-17,https://ClinicalTrials.gov/show/NCT01881646
335,Omega-3 Fatty Acids and/or Multi-domain Intervention in the Prevention of Age-related Cognitive Decline,Completed,No Results Available,Frail Elderly Subjects,Dietary Supplement: omega-3|Behavioral: multi-domain intervention|Drug: Placebo,"Change in cognitive function at 36 months determined by a composite score (sum of Z-score of 4 tests: FCRST test (free recall + total recall) score, MMSE orientation score, Wais-R score (Digit Substitution Symbol test), and the Category Naming Test score|Changes in other cognitive functions. Changes in functional capacities. To study the long-term safety and tolerability of V0137 CA treatment. To study compliance and adhesion to the ""multi-domain"" intervention program.",17-Apr-15,https://ClinicalTrials.gov/show/NCT00672685
336,Vascular Mechanisms for the Effects of Loss of Ovarian Hormone Function on Cognition in Women,Completed,No Results Available,Cognitive Impairment|Executive Dysfunction|Endothelial Dysfunction|Cardiovascular Disease,Drug: Leuprolide acetate|Drug: Estradiol|Drug: Medroxyprogesterone|Drug: Placebo,Changes in Prefrontal cortex brain activation|Changes in Endothelial function|Changes in artery compliance|Changes in Executive cognitive function,29-Nov-17,https://ClinicalTrials.gov/show/NCT02122198
337,Lisdexamfetamine Dimesylate in Residual Symptoms and Cognitive Impairment in Major Depressive Disorder.,Completed,Has Results,Major Depressive Disorder,Drug: Lisdexamfetamine Dimesylate (Vyvanse)|Drug: Placebo,Change From Baseline in the Dysphoric Apathy/Retardation Sub-factor (MDAR) of Montgomery-Asberg Depression Rating Scale (MADRS) at 4 Weeks.,23-May-17,https://ClinicalTrials.gov/show/NCT01148979
338,Effects of Triglycerides on Age-Related Cognitive Function Decline in Older Subjects,Completed,No Results Available,Alzheimer's Disease,Drug: GSK2981710|Drug: Placebo,Part 1: Plasma BHB elevation time course of GSK2981710|Part 1: Area under the time concentration curve (AUC) of GSK2981710|Part 1: Maximum concentration (Cmax) of GSK2981710|Part 2: Change from Baseline in performance on CANTAB Paired Associates Learning task|Part 2: Change from Baseline in performance on CANTAB Verbal Recognition Memory task|Part 2: Change from Baseline in performance on CANTAB Spatial Working Memory (SWM) task|Part 2: Change from Baseline in performance on CANTAB Rapid Visual Processing task|Part 2: Change from Baseline in performance on CANTAB Reaction Time task|Part 2: Change from Baseline in performance on Source Memory Task|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by number of subjects with adverse events (AE)s|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by change from Baseline in ECG readings|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by change from Baseline in laboratory values|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by change from Baseline in vital signs|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by Gastrointestinal (GI) Symptom and stool diary|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by Liking Assessment|Part 2: Change from Baseline in P300 EEG measurement|Part 2: Resting EEG measurement|Part 2: EEG measurement during Source Memory Task|Part 2: Correlation between systemic exposure of BHB and selected PD measurements,09-May-17,https://ClinicalTrials.gov/show/NCT01702480
339,Insulin Resistance and Cognitive Dysfunction in Obese Adolescents: Pilot Study,Completed,No Results Available,Obesity,Other: Exercise Program,Formal exercise intervention and cognitive dysfunction in obeses adolescents|Systemic and Cognitive effects of adding exercise program to obese adolescent's lifestyle.,10-Jan-17,https://ClinicalTrials.gov/show/NCT01737658
340,Feasibility Aquatic Physical Exercise to Reduce Falls in Institutionalized Elderly,Completed,No Results Available,Age Problems|Cognitive Impairment|Elderly|Postural Balance|Strength,Other: Exercise,"Change from baseline Number of Falls at 3 months, 6 months and 9 months|Balance measured with Performance Oriented Mobility Assessment|Pain measured with Visual Analogue Scale|Mobility measured with Timed Up & Go Test|Daily living activities measured with Barthel Test|Muscle strength measured with Five Sit to Stand test and Handgrip Test|Intervention Perception measured with Qualitative interview",05-May-17,https://ClinicalTrials.gov/show/NCT03019211
341,Effect of Lidocaine in Antiarrhythmic Dosage on Postoperative Cognitive Dysfunction in Supratentorial Craniotomy Dysfunction in Supratentorial Craniotomy,Completed,No Results Available,Supratentorial Craniotomy Dysfunction,Drug: lidocaine|Drug: saline,Mini-Mental State Examination (MMSE)|Montreal Cognitive Assessment (MoCA)|Hamilton Depression Scale (HAMD)|Clinical Dementia Rating (CDR)|Confusion Assessment Method for the Diagnosis of Delirium in the Intensive Care unit (ICU) (CAM-ICU)|AjDO2 (Arterial Jugular Difference)|AjDGlc|AjDGlutamate|AjDLct|S100|Amyloid-ë_ protein(Aë_),22-May-13,https://ClinicalTrials.gov/show/NCT00975910
342,Impact of Anesthesia Maintenance Methods on Incidence of Postoperative Delirium,Completed,No Results Available,Delirium|Postoperative Complications|Postoperative Cognitive Dysfunction,Drug: Sevoflurane|Drug: Propofol,Incidence of delirium|Length of stay in hospital after surgery|Incidence of non-delirium complications|Cognitive function at 30 days after surgery|All-cause 30-day mortality,03-Jan-18,https://ClinicalTrials.gov/show/NCT02662257
343,A Treadmill Training Program Augmented by Virtual Reality to Decrease Fall Risk in Older Adults,Completed,No Results Available,Elderly Adults|Parkinson|Mild Cognitive Disorder,Other: TT+VR|Other: TT alone,Falls rate|Gait|Cognitive function|Balance and mobility|Quality of life,19-Apr-16,https://ClinicalTrials.gov/show/NCT01732653
344,Effects of Propofol and Sevoflurane on Early POCD in Elderly Patients With Metabolic Syndrome,Completed,No Results Available,Postoperative Complications,Other: metabolic syndrome,Number of participants with Postoperative cognitive dysfunction (POCD) as assessed by Mini-Mental State Examination (MMSE) score in propofol group and sevoflurane group,30-Jun-16,https://ClinicalTrials.gov/show/NCT02766062
345,Efficacy and Safety of Two Pharmacologic Strategies on Neurocognitive Impairment in HIV Infection. The TRIANT-TE Study,Completed,No Results Available,Neurocognitive Disturbance|HIV Infection,Drug: Lithium|Drug: Rivastigmine,Percentage of persons with neurocognitive impairment in the different study groups|Adverse events associated with the initiation of therapy and toxicity parameters|Emotional variables|Functional variables|Quality of life variables|Demographics,01-Apr-14,https://ClinicalTrials.gov/show/NCT01348282
346,"Efficacy, Safety, and Tolerability of TC-5619 as Augmentation Therapy to Improve Negative Symptoms and Cognition in Outpatients With Schizophrenia",Completed,No Results Available,Schizophrenia|Negative Symptoms|Cognitive Dysfunction,Drug: TC-5619|Drug: Placebo,"Change from baseline in the Scale for Assessment of Negative Symptoms (SANS)|Change from baseline in the Cogstate Schizophrenia Battery (CSB)|Change from baseline in UCSD Performance Based Skills Assessment, brief version (UPSA-Brief)",03-Jun-15,https://ClinicalTrials.gov/show/NCT01488929
347,Skeletal Muscle as a Mediator of Exercise Induced Effects on Metabolism & Cognitive Function: Role for Myokines & miRNAs,Completed,No Results Available,Mild Cognitive Impairment|Alzheimer Disease|Parkinson Disease|Healthy Volunteers,Behavioral: 3 months exercise intervention program,muscle microRNAs and myokines|whole body energy metabolism|cognitive function|motoric function|Muscle functional tests,17-Apr-18,https://ClinicalTrials.gov/show/NCT02253732
348,"Dopaminergic, Functional, Structural, and Cognitive Disturbances in First-episode Schizophrenia",Completed,No Results Available,Schizophrenia,Drug: zuclopenthixol|Drug: risperidone,"All examinations are done at baseline (patients and controls). In the patient group, they are repeated after 3 months of treatment|PANSS|SANS|SAPS|MRI|fMRI|startle response|PrePulse Inhibition of the startle response (PPI)|Cognition|The cognitive test battery comprised tests from the Cambridge Neuropsychological Test Automated Battery (CANTAB) as well as paper-and-pencil cognitive tests.",19-Sep-11,https://ClinicalTrials.gov/show/NCT00206960
349,Cognitive and Emotional Impairment After Stroke,Completed,No Results Available,Stroke|Cognitive Impairment|Vascular Dementia,Other: Multifactorial vascular-risk-factor-intervention,"Effects of vascular risk-factor-intervention on changes in TMTA, ten-words-test and HAD|Prevalence of dementia and depression after stroke",21-Sep-09,https://ClinicalTrials.gov/show/NCT00506818
350,Reducing Disabilities in Alzheimer's Disease (RDAD) Translation in Area Agencies on Aging (AAAs),Completed,No Results Available,Alzheimer's Disease|Dementia|Memory Impairment|Cognitive Impairment,Behavioral: RDAD,Minutes of exercise per week|Restricted Activity Days|Restricted Days of Activity|Independence/Residential Status|Revised Memory and Behavior Problem Checklist (RMBPC)|Quality of Life-AD|CES-D,15-Sep-17,https://ClinicalTrials.gov/show/NCT01708304
351,Gabapentin Treatment of Cannabis Dependence,Completed,Has Results,Cannabis Dependence|Cannabis Withdrawal|Cognitive Deficits,Drug: gabapentin 1200mg/day|Drug: Placebo|Behavioral: Manual-guided behavioral counseling,Percentage of Negative Urinary Drug Screens (UDS) for Cannabis at 12 Weeks Following Administration of Gabapentin or Placebo During the Double Blind Period,06-Jun-17,https://ClinicalTrials.gov/show/NCT00974376
352,A Rehabilitation Program in Children With Sickle Cell Disease and Cognitive Deficits: a Pilot Study,Completed,No Results Available,Sickle Cell Disease,Behavioral: General Tutoring|Behavioral: Memory Training,The proportion of children who complete the trial|Measure of working memory|Measure of academic achievement,12-Dec-14,https://ClinicalTrials.gov/show/NCT00895154
353,Pioglitazone as a Treatment for Lipid and Glucose Abnormalities In Patients With Schizophrenia,Completed,Has Results,Diabetes|Schizophrenia|Insulin Resistance|Cognitive Impairment,Drug: Pioglitazone|Behavioral: Life style diet group|Other: Placebo,Change From Baseline in Serum Triglycerides at 3 Months ( 3 Months-baseline) US Sample|Change From Baseline in Serum HDL at 3 Months (3 Months-baseline) US Sample|Change From Baseline in Serum Glucose at 3 Months (3 Months-baseline) US Sample|2 Hour Glucose From Glucose Tolerance Test US Sample|Change in RBANS List Recognition Scores at 3 Months (3 Months-baseline) US Sample|Change From Baseline in Serum Glucose at 3 Months ( 3 Months -Baseline) China Sample|Change From Baseline in Serum Triglycerides at 3 Months (3 Months-baseline) China Sample|2 Hour Glucose From Glucose Tolerance Test China Sample|Change From Baseline in Serum HDL at 3 Months (3 Months-baseline) China Site,11-Dec-17,https://ClinicalTrials.gov/show/NCT00231894
354,Remediation of Cognitive Dysfunction in Euthymic Bipolar Disorder Patients Using Transcranial Direct Current Stimulation (tDCS),Completed,No Results Available,Bipolar Disorder,Device: Transcranial direct current stimulation (Eldith DC Stimulator),Total correct responses.,03-Nov-15,https://ClinicalTrials.gov/show/NCT01339598
355,"Investigation of Memantine in the Treatment of Memory, Concentration or Attention Problems",Completed,No Results Available,"Memory Disorder|Retention Disorder, Cognitive|Subjective Cognitive Impairment|Memory, Concentration or Attention Problems",Drug: Memantine|Drug: Placebo,"""Patient Global Impression of Change"" (PGI-C) at visit 4|Change from baseline to visit 3 and 5 of Patient Global Impression of Change (PGI-C)|Change from baseline to visit 4 in ""Everyday Cognition 39"" (ECog 39) total score|Change from baseline to visit 4 in ""Hospital Anxiety and Depression Scale"" (HADS) Score|Change from baseline to visit 3, 4, 5 of ""Computer-based Neuropsychological Test Battery (C-NTB) by CogState Ltd.",27-Nov-13,https://ClinicalTrials.gov/show/NCT01261741
356,Galantamine-CR and Cognitive Dysfunction in Bipolar Disorder,Completed,No Results Available,Bipolar Disorder,Drug: Galantamine-CR,neurocognitive testing at last study visit (18 weeks),24-Apr-07,https://ClinicalTrials.gov/show/NCT00181636
357,ABC Trial: Awakening and Breathing Controlled,Completed,No Results Available,"Aging|Respiration, Artificial",Procedure: SAT: Spontaneous Awakening Trial|Procedure: SBT: Spontaneous Breathing Trial,Ventilator free days|Length of stay in the ICU and hospital|28-day and 1-year survival|Duration of coma and delirium|Cognitive function|Psychological status|Functional status|Quality of life,11-Dec-09,https://ClinicalTrials.gov/show/NCT00097630
358,Effectiveness of a Psycho-educational Group (PEG) Intervention on Supportive Care and Survivorship Issues in Early-stage Breast Cancer Survivors Who Have Received Systemic Treatment,Completed,No Results Available,Breast Cancer|Cancer|Anxiety|Cognitive Dysfunction,Behavioral: Psychoeducation group|Behavioral: Usual Care,"Severity of anxiety, as measured using Beck Anxiety Inventory|Quality of life|Severity of cognitive dysfunction, as measured using FACT-Cog|Severity of symptom burden, as measured using Rotterdam Symptom Checklist",22-Sep-16,https://ClinicalTrials.gov/show/NCT02600299
359,"Egcg, a dyrk1a Inhibitor as Therapeutic Tool for Reversing Cognitive Deficits in Down Syndrome Individuals.",Completed,No Results Available,Down Syndrome,Dietary Supplement: Epigallocatechin-3-gallate (EGCG)|Drug: Placebo,Memory|DYRK1A activity biomarkers|Psychomotor speed|Attention|Executive functions|Visuomotor coordination|Functional outcome in daily living and adaptative behaviour|Quality of life|Qualitative data on treatment effects,13-Mar-13,https://ClinicalTrials.gov/show/NCT01394796
360,Computerized Exercise Training for Cognitive Remediation in Adults With Multiple Sclerosis Treated With Gilenya,Completed,No Results Available,Multiple Sclerosis|Cognitive Deficits|Gilenya Modifying Therapy for MS,Other: plasticity-based computerized cognitive remediation program|Drug: Gileyna,Change from Baseline in Neuropsychological Test Results at 12weeks|Evaluate the feasibility of PACR for adults with MS on Gilenya therapy who have cognitive impairment based on Participant Adherence to Study Protocol,10-May-16,https://ClinicalTrials.gov/show/NCT02141022
361,Safety and Efficacy Study of Ladostigil in Mild to Moderate Probable Alzheimer's Disease,Completed,No Results Available,Alzheimer's Disease|Dementia|Memory Loss|Cognitive Impairment,Drug: ladostigil hemitartrate,ADAS-Cog: Alzheimer's Disease Assessment Scale-Cognitive Subscale|Safety Evaluation|Neuropsychiatric Inventory (NPI)|Cornell Scale for Depression in Dementia (CSDD)|Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS-ADL)|Mini-Mental State Examination (MMSE)|ADAS-Cog: Alzheimer's Disease Assessment Scale - Cognitive Subscale,23-Jul-13,https://ClinicalTrials.gov/show/NCT01354691
362,Cognitive Rehabilitation in Patients With Spina Bifida,Completed,No Results Available,Executive Dysfunction|Cognitive Deficits|Spina Bifida,Behavioral: Goal management training (GMT),Self and informant report of cognitive difficulties|self report of cognitive failures|self report of psychological problems|self report of quality of life|Self report of coping strategies|Cognitive functions measured by neuropsychological tests,22-Jan-14,https://ClinicalTrials.gov/show/NCT01302314
363,Trial of a Medical and Mental Health Unit for Older People,Completed,No Results Available,Dementia|Confusion|Cognitive Impairment|Delirium,Behavioral: A medical and mental health unit,Number of days at home in the 3 months after randomisation|Quality of life|Behavioural disability|Mortality|Personal activities of daily living|Participant / generic disability|Cognition|Carer satisfaction with hospital care|Carer strain and general health|Service Outcomes|Quality of care and patient experience on the ward|Health and social care costs,03-Dec-15,https://ClinicalTrials.gov/show/NCT01136148
